"#";"Iniciar";"Localização";"Descrição"
"108";"25/08/2023 10:24";"=HYPERLINK(""http://maps.google.com/?q=-26,5944909,-51,1041473"",""Calmon (Calmon)"")";"Arranque do Motor"
"109";"25/08/2023 10:24";"=HYPERLINK(""http://maps.google.com/?q=-26,5944481,-51,1041276"",""Calmon (Calmon)"")";"Em andamento"
"110";"25/08/2023 10:29";"=HYPERLINK(""http://maps.google.com/?q=-26,5945351,-51,1042761"",""Calmon (Calmon)"")";"Paragem do Motor"
"111";"25/08/2023 10:29";"=HYPERLINK(""http://maps.google.com/?q=-26,5945351,-51,1042761"",""Calmon (Calmon)"")";"Chave Desligada"
"112";"25/08/2023 10:31";"=HYPERLINK(""http://maps.google.com/?q=-26,5945271,-51,104284"",""Calmon (Calmon)"")";"Chave Ligada"
"113";"25/08/2023 10:31";"=HYPERLINK(""http://maps.google.com/?q=-26,5945271,-51,104284"",""Calmon (Calmon)"")";"Arranque do Motor"
"114";"25/08/2023 10:32";"=HYPERLINK(""http://maps.google.com/?q=-26,5946646,-51,1043143"",""Calmon (Calmon)"")";"Em andamento"
"115";"25/08/2023 10:36";"=HYPERLINK(""http://maps.google.com/?q=-26,5944219,-51,104344"",""Calmon (Calmon)"")";"Paragem do Motor"
"116";"25/08/2023 10:36";"=HYPERLINK(""http://maps.google.com/?q=-26,5944219,-51,104344"",""Calmon (Calmon)"")";"Chave Desligada"
"117";"25/08/2023 10:39";"=HYPERLINK(""http://maps.google.com/?q=-26,5943956,-51,10432"",""Calmon (Calmon)"")";"Arranque do Motor"
"118";"25/08/2023 10:39";"=HYPERLINK(""http://maps.google.com/?q=-26,5943956,-51,10432"",""Calmon (Calmon)"")";"Chave Ligada"
"119";"25/08/2023 10:40";"=HYPERLINK(""http://maps.google.com/?q=-26,5946039,-51,1042701"",""Calmon (Calmon)"")";"Em andamento"
"120";"25/08/2023 10:45";"=HYPERLINK(""http://maps.google.com/?q=-26,5945553,-51,1041091"",""Calmon (Calmon)"")";"Parado"
"121";"25/08/2023 10:54";"=HYPERLINK(""http://maps.google.com/?q=-26,5945553,-51,1041091"",""Calmon (Calmon)"")";"Routine data transmission-pt"
"122";"25/08/2023 10:58";"=HYPERLINK(""http://maps.google.com/?q=-26,5945584,-51,104128"",""Calmon (Calmon)"")";"Em andamento"
"123";"25/08/2023 11:00";"=HYPERLINK(""http://maps.google.com/?q=-26,5944496,-51,1040425"",""Calmon (Calmon)"")";"Parado"
"124";"25/08/2023 11:06";"=HYPERLINK(""http://maps.google.com/?q=-26,5944861,-51,1041311"",""Calmon (Calmon)"")";"Em andamento"
"125";"25/08/2023 11:08";"=HYPERLINK(""http://maps.google.com/?q=-26,5944751,-51,1041055"",""Calmon (Calmon)"")";"Parado"
"126";"25/08/2023 11:09";"=HYPERLINK(""http://maps.google.com/?q=-26,5945596,-51,1041278"",""Calmon (Calmon)"")";"Routine data transmission-pt"
"127";"25/08/2023 11:20";"=HYPERLINK(""http://maps.google.com/?q=-26,5944698,-51,104147"",""Calmon (Calmon)"")";"Paragem do Motor"
"128";"25/08/2023 11:20";"=HYPERLINK(""http://maps.google.com/?q=-26,5944698,-51,104147"",""Calmon (Calmon)"")";"Chave Desligada"
"129";"25/08/2023 11:29";"=HYPERLINK(""http://maps.google.com/?q=-26,5944803,-51,1041351"",""Calmon (Calmon)"")";"Arranque do Motor"
"130";"25/08/2023 11:29";"=HYPERLINK(""http://maps.google.com/?q=-26,5944803,-51,1041351"",""Calmon (Calmon)"")";"Chave Ligada"
"131";"25/08/2023 11:29";"=HYPERLINK(""http://maps.google.com/?q=-26,5944183,-51,1037941"",""Calmon (Calmon)"")";"Em andamento"
"132";"25/08/2023 11:31";"=HYPERLINK(""http://maps.google.com/?q=-26,5946009,-51,1037255"",""Calmon (Calmon)"")";"Em andamento"
"133";"25/08/2023 11:36";"=HYPERLINK(""http://maps.google.com/?q=-26,6003091,-51,0981336"",""Calmon (Calmon)"")";"Paragem do Motor"
"134";"25/08/2023 11:36";"=HYPERLINK(""http://maps.google.com/?q=-26,6003091,-51,0981336"",""Calmon (Calmon)"")";"Chave Desligada"
"135";"25/08/2023 11:37";"=HYPERLINK(""http://maps.google.com/?q=-26,6003023,-51,0981251"",""Calmon (Calmon)"")";"Parado"
"136";"25/08/2023 11:52";"=HYPERLINK(""http://maps.google.com/?q=-26,600296,-51,0981224"",""Calmon (Calmon)"")";"GSM Metrics-pt"
"137";"25/08/2023 11:52";"=HYPERLINK(""http://maps.google.com/?q=-26,600296,-51,0981224"",""Calmon (Calmon)"")";"Prestes a Entrar em Estado de Descanso"
"138";"25/08/2023 11:52";"=HYPERLINK(""http://maps.google.com/?q=-26,600296,-51,0981224"",""Calmon (Calmon)"")";"Relatório Atempado"
"139";"25/08/2023 13:43";"=HYPERLINK(""http://maps.google.com/?q=-26,600296,-51,0981224"",""Calmon (Calmon)"")";"Estado Activo"
"140";"25/08/2023 13:43";"=HYPERLINK(""http://maps.google.com/?q=-26,600296,-51,0981224"",""Calmon (Calmon)"")";"Ligado"
"141";"25/08/2023 13:44";"=HYPERLINK(""http://maps.google.com/?q=-26,600296,-51,0981224"",""Calmon (Calmon)"")";"Chave Ligada"
"142";"25/08/2023 13:44";"=HYPERLINK(""http://maps.google.com/?q=-26,600296,-51,0981224"",""Calmon (Calmon)"")";"Arranque do Motor"
"143";"25/08/2023 13:46";"=HYPERLINK(""http://maps.google.com/?q=-26,5993519,-51,0980703"",""Calmon (Calmon)"")";"Primeiro Acerto do GPS"
"144";"25/08/2023 13:46";"=HYPERLINK(""http://maps.google.com/?q=-26,5993519,-51,0980703"",""Calmon (Calmon)"")";"Em andamento"
"145";"25/08/2023 13:46";"=HYPERLINK(""http://maps.google.com/?q=-26,5992206,-51,0987608"",""Calmon (Calmon)"")";"Em andamento"
"146";"25/08/2023 13:51";"=HYPERLINK(""http://maps.google.com/?q=-26,5999678,-51,1023731"",""Calmon (Calmon)"")";"Parado"
"147";"25/08/2023 13:53";"=HYPERLINK(""http://maps.google.com/?q=-26,5999793,-51,1023608"",""Calmon (Calmon)"")";"Paragem do Motor"
